Timestamp,Raw_ADC,BPM,HRV_RMSSD,Resp_Rate,Active_Model,ML_Class,ML_Confidence
11:24:46.840,2206,0,0,0,kan,None,0.0
11:24:46.843,2204,0,0,0,kan,None,0.0
11:24:46.847,2205,0,0,0,kan,None,0.0
11:24:46.852,2202,0,0,0,kan,None,0.0
11:24:46.855,2202,0,0,0,kan,None,0.0
11:24:46.859,2207,0,0,0,kan,None,0.0
11:24:46.864,2216,0,0,0,kan,None,0.0
11:24:46.868,2207,0,0,0,kan,None,0.0
11:24:46.871,2207,0,0,0,kan,None,0.0
11:24:46.875,2205,0,0,0,kan,None,0.0
11:24:46.880,2203,0,0,0,kan,None,0.0
11:24:46.883,2201,0,0,0,kan,None,0.0
11:24:46.962,2200,0,0,0,kan,None,0.0
11:24:46.962,2191,0,0,0,kan,None,0.0
11:24:46.962,2205,0,0,0,kan,None,0.0
11:24:46.963,2219,0,0,0,kan,None,0.0
11:24:46.963,2235,0,0,0,kan,None,0.0
11:24:46.963,2264,0,0,0,kan,None,0.0
11:24:46.963,2263,0,0,0,kan,None,0.0
11:24:46.964,2255,0,0,0,kan,None,0.0
11:24:46.964,2234,0,0,0,kan,None,0.0
11:24:46.964,2222,0,0,0,kan,None,0.0
11:24:46.964,2215,0,0,0,kan,None,0.0
11:24:46.968,2224,0,0,0,kan,None,0.0
11:24:46.969,2268,0,0,0,kan,None,0.0
11:24:46.978,2301,0,0,0,kan,None,0.0
11:24:46.979,2315,0,0,0,kan,None,0.0
11:24:46.979,2314,0,0,0,kan,None,0.0
11:24:46.980,2285,0,0,0,kan,None,0.0
11:24:46.980,2268,0,0,0,kan,None,0.0
11:24:46.981,2264,0,0,0,kan,None,0.0
11:24:46.981,2252,0,0,0,kan,None,0.0
11:24:46.981,2236,0,0,0,kan,None,0.0
11:24:46.982,2219,0,0,0,kan,None,0.0
11:24:46.982,2203,0,0,0,kan,None,0.0
11:24:46.982,2202,0,0,0,kan,None,0.0
11:24:46.983,2205,0,0,0,kan,None,0.0
11:24:46.987,2215,0,0,0,kan,None,0.0
11:24:46.991,2202,0,0,0,kan,None,0.0
11:24:46.995,2188,0,0,0,kan,None,0.0
11:24:46.999,2184,0,0,0,kan,None,0.0
11:24:47.005,2189,0,0,0,kan,None,0.0
11:24:47.007,2202,0,0,0,kan,None,0.0
11:24:47.011,2201,0,0,0,kan,None,0.0
11:24:47.015,2191,0,0,0,kan,None,0.0
11:24:47.019,2187,0,0,0,kan,None,0.0
11:24:47.023,2176,0,0,0,kan,None,0.0
11:24:47.028,2185,0,0,0,kan,None,0.0
11:24:47.031,2186,0,0,0,kan,None,0.0
11:24:47.035,2188,0,0,0,kan,None,0.0
11:24:47.039,2187,0,0,0,kan,None,0.0
11:24:47.043,2190,0,0,0,kan,None,0.0
11:24:47.047,2186,0,0,0,kan,None,0.0
11:24:47.053,2183,0,0,0,kan,None,0.0
11:24:47.055,2172,0,0,0,kan,None,0.0
11:24:47.059,2172,0,0,0,kan,None,0.0
11:24:47.063,2175,0,0,0,kan,None,0.0
11:24:47.067,2190,0,0,0,kan,None,0.0
11:24:47.071,2264,0,0,0,kan,None,0.0
11:24:47.075,2400,0,0,0,kan,None,0.0
11:24:47.079,2556,0,0,0,kan,None,0.0
11:24:47.083,2717,0,0,0,kan,None,0.0
11:24:47.087,2924,0,0,0,kan,None,0.0
11:24:47.091,3128,0,0,0,kan,None,0.0
11:24:47.095,3230,0,0,0,kan,None,0.0
11:24:47.099,3099,0,0,0,kan,None,0.0
11:24:47.103,2553,0,0,0,kan,None,0.0
11:24:47.107,1659,0,0,0,kan,None,0.0
11:24:47.111,889,0,0,0,kan,None,0.0
11:24:47.115,380,0,0,0,kan,None,0.0
11:24:47.119,153,0,0,0,kan,None,0.0
11:24:47.123,128,0,0,0,kan,None,0.0
11:24:47.127,237,0,0,0,kan,None,0.0
11:24:47.131,462,0,0,0,kan,None,0.0
11:24:47.135,730,0,0,0,kan,None,0.0
11:24:47.139,1081,0,0,0,kan,None,0.0
11:24:47.144,1516,0,0,0,kan,None,0.0
11:24:47.148,1945,0,0,0,kan,None,0.0
11:24:47.151,2203,0,0,0,kan,None,0.0
11:24:47.155,2250,0,0,0,kan,None,0.0
11:24:47.159,2207,0,0,0,kan,None,0.0
11:24:47.163,2233,0,0,0,kan,None,0.0
11:24:47.167,2301,0,0,0,kan,None,0.0
11:24:47.171,2376,0,0,0,kan,None,0.0
11:24:47.175,2409,0,0,0,kan,None,0.0
11:24:47.179,2424,0,0,0,kan,None,0.0
11:24:47.184,2429,0,0,0,kan,None,0.0
11:24:47.187,2463,0,0,0,kan,None,0.0
11:24:47.194,2474,0,0,0,kan,None,0.0
11:24:47.195,2491,0,0,0,kan,None,0.0
11:24:47.199,2505,0,0,0,kan,None,0.0
11:24:47.203,2506,0,0,0,kan,None,0.0
11:24:47.207,2509,0,0,0,kan,None,0.0
11:24:47.211,2523,0,0,0,kan,None,0.0
11:24:47.215,2527,0,0,0,kan,None,0.0
11:24:47.219,2537,0,0,0,kan,None,0.0
11:24:47.224,2540,0,0,0,kan,None,0.0
11:24:47.227,2555,0,0,0,kan,None,0.0
11:24:47.231,2557,0,0,0,kan,None,0.0
11:24:47.235,2557,0,0,0,kan,None,0.0
11:24:47.241,2570,0,0,0,kan,None,0.0
11:24:47.243,2587,0,0,0,kan,None,0.0
11:24:47.247,2606,0,0,0,kan,None,0.0
11:24:47.252,2621,0,0,0,kan,None,0.0
11:24:47.255,2633,0,0,0,kan,None,0.0
11:24:47.259,2649,0,0,0,kan,None,0.0
11:24:47.264,2668,0,0,0,kan,None,0.0
11:24:47.268,2697,0,0,0,kan,None,0.0
11:24:47.271,2730,0,0,0,kan,None,0.0
11:24:47.276,2748,0,0,0,kan,None,0.0
11:24:47.279,2763,0,0,0,kan,None,0.0
11:24:47.283,2793,0,0,0,kan,None,0.0
11:24:47.287,2824,0,0,0,kan,None,0.0
11:24:47.291,2844,0,0,0,kan,None,0.0
11:24:47.295,2860,0,0,0,kan,None,0.0
11:24:47.299,2873,0,0,0,kan,None,0.0
11:24:47.303,2879,0,0,0,kan,None,0.0
